filename,block_collection,page_number,block_index,block_type,line_index,span_index,span_type,span_text,score
GGH9.pdf,para_blocks,2,9,text,5,0,text,"(quinze) dias de perda de receitas equivalerem ao preço de uma nova roda de turbina, valerá mais a pena investir",1.0
GGH9.pdf,para_blocks,2,9,text,6,0,text,na compra da nova roda e realizar uma parada rápida somente para troca da roda do que realizar o serviço de,1.0
GGH9.pdf,para_blocks,2,9,text,7,0,text,menor preço de recuperação da turbina existente em campo. A situação pode ser bastante onerosa também no,1.0
GGH9.pdf,para_blocks,2,9,text,8,0,text,"caso de turbinas de maior porte e/ou em localidades mais remotas, principalmente em unidades mais antigas, pois",1.0
GGH9.pdf,para_blocks,2,9,text,9,0,text,os processos de desmontagem/montagem e transporte de todas as partes para uma fábrica podem levar a meses,1.0
GGH9.pdf,para_blocks,2,9,text,10,0,text,de indisponibilidade de uma grande capacidade instalada de geração. Tudo se torna uma questão de análise,1.0
GGH9.pdf,para_blocks,2,9,text,11,0,text,"completa do cenário de qualidade, custo e prazo. Desta forma, é importante buscar estratégias que minimizem as",1.0
GGH9.pdf,para_blocks,2,9,text,12,0,text,"paradas, mesmo que o investimento no serviço em si possa ficar maior.",1.0
GGH9.pdf,para_blocks,5,12,text,11,0,text,"isto também resultou em ganhos nos tempos de montagem e comissionamento. Logo, obteve-se uma redução de",1.0
GGH9.pdf,para_blocks,5,12,text,12,0,text,"18 (dezoito) dias no processo de montagem e comissionamento, o que representou em uma redução de 45% nos",1.0
GGH9.pdf,para_blocks,5,12,text,13,0,text,tempos de indisponibilidade de máquina previstos durante os serviços da reforma. Tal representação pode ser vista,1.0
GGH9.pdf,para_blocks,5,12,text,14,0,text,na figura 5 abaixo:,1.0
GGT_1247.pdf,para_blocks,1,17,text,4,0,text,"cidade ou gás de água, normalmente continham 30% a 50% de hidrogênio, que podiam ser produzidos a partir de",1.0
GGT_1247.pdf,para_blocks,1,17,text,5,0,text,"piche, óleo de baleia, carvão ou produtos petrolíferos (MELAINA, ANTONIA, et al., 2013).",1.0
GTM10.pdf,para_blocks,7,10,text,9,0,text,"durante o processo de Design Review e quando do ensaio de elevação de temperatura em sobrecarga, seja por",1.0
GTM10.pdf,para_blocks,7,10,text,10,0,text,medições com imagem térmica ou fibra ótica.,1.0
