filename,block_collection,page_number,block_index,block_type,block_level,line_index,line_text,line_x0,line_y0,line_x1,line_y1
GDI_0685.pdf,discarded_blocks,1,1,header,,0,XXVII Seminário Nacional de,124.0,35.0,229.0,43.0
GDI_0685.pdf,discarded_blocks,1,1,header,,1,Produção e Transmissão,124.0,45.0,248.0,55.0
GDI_0685.pdf,discarded_blocks,1,1,header,,2,de Energia Elétrica,124.0,56.0,219.0,67.0
GDI_0685.pdf,discarded_blocks,1,1,header,,3,XXVIISNPTEE,68.0,66.0,119.0,74.0
GDI_0685.pdf,discarded_blocks,1,2,header,,0,0685,501.0,41.0,524.0,52.0
GDI_0685.pdf,discarded_blocks,1,2,header,,1,GDI/7,498.0,58.0,523.0,69.0
GDI_0685.pdf,para_blocks,1,4,title,1.0,0,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE,75.0,168.0,514.0,179.0
GDI_0685.pdf,preproc_blocks,1,4,title,1.0,0,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE,75.0,168.0,514.0,179.0
GDI_0685.pdf,para_blocks,1,4,title,1.0,1,DISTRIBUIÇÃO DE BAIXA TENSÃO,218.0,178.0,370.0,189.0
GDI_0685.pdf,preproc_blocks,1,4,title,1.0,1,DISTRIBUIÇÃO DE BAIXA TENSÃO,218.0,178.0,370.0,189.0
GDI_0685.pdf,para_blocks,1,5,list,,0,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO,71.0,212.0,516.0,223.0
GDI_0685.pdf,preproc_blocks,1,5,text,,0,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO,71.0,212.0,516.0,223.0
GDI_0685.pdf,para_blocks,1,5,list,,1,LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1);,81.0,220.0,505.0,234.0
GDI_0685.pdf,preproc_blocks,1,5,text,,1,LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1);,81.0,220.0,505.0,234.0
GDI_0685.pdf,para_blocks,1,5,list,,2,EDUARDO CASARIN (3); AMANDA CORTEZ (3),191.0,231.0,394.0,243.0
GDI_0685.pdf,preproc_blocks,1,5,text,,2,EDUARDO CASARIN (3); AMANDA CORTEZ (3),191.0,231.0,394.0,243.0
GDI_0685.pdf,para_blocks,1,5,list,,3,INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO,74.0,241.0,512.0,255.0
GDI_0685.pdf,preproc_blocks,1,5,text,,3,INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO,74.0,241.0,512.0,255.0
GDI_0685.pdf,para_blocks,1,5,list,,4,REDES S.A. (3),260.0,253.0,327.0,264.0
GDI_0685.pdf,preproc_blocks,1,5,text,,4,REDES S.A. (3),260.0,253.0,327.0,264.0
GDI_0685.pdf,para_blocks,1,7,abstract,,0,Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes,66.0,299.0,531.0,308.0
GDI_0685.pdf,preproc_blocks,1,7,abstract,,0,Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes,66.0,299.0,531.0,308.0
GDI_0685.pdf,para_blocks,1,7,abstract,,1,"de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e",67.0,310.0,530.0,318.0
GDI_0685.pdf,preproc_blocks,1,7,abstract,,1,"de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e",67.0,310.0,530.0,318.0
GDI_0685.pdf,para_blocks,1,7,abstract,,2,sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da,67.0,320.0,531.0,330.0
GDI_0685.pdf,preproc_blocks,1,7,abstract,,2,sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da,67.0,320.0,531.0,330.0
GDI_0685.pdf,para_blocks,1,7,abstract,,3,concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada,67.0,330.0,531.0,340.0
GDI_0685.pdf,preproc_blocks,1,7,abstract,,3,concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada,67.0,330.0,531.0,340.0
GDI_0685.pdf,para_blocks,1,7,abstract,,4,Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país.,67.0,340.0,414.0,350.0
GDI_0685.pdf,preproc_blocks,1,7,abstract,,4,Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país.,67.0,340.0,414.0,350.0
GDI_0685.pdf,para_blocks,1,11,text,,0,Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a,67.0,421.0,531.0,430.0
GDI_0685.pdf,preproc_blocks,1,11,text,,0,Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a,67.0,421.0,531.0,430.0
GDI_0685.pdf,para_blocks,1,11,text,,1,"organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a",67.0,431.0,531.0,440.0
GDI_0685.pdf,preproc_blocks,1,11,text,,1,"organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a",67.0,431.0,531.0,440.0
GDI_0685.pdf,para_blocks,1,11,text,,2,"intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado,",67.0,441.0,530.0,450.0
GDI_0685.pdf,preproc_blocks,1,11,text,,2,"intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado,",67.0,441.0,530.0,450.0
GDI_0685.pdf,para_blocks,1,11,text,,3,"através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em",67.0,452.0,531.0,460.0
GDI_0685.pdf,preproc_blocks,1,11,text,,3,"através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em",67.0,452.0,531.0,460.0
GDI_0685.pdf,para_blocks,1,11,text,,4,"consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em",66.0,461.0,531.0,472.0
GDI_0685.pdf,preproc_blocks,1,11,text,,4,"consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em",66.0,461.0,531.0,472.0
GDI_0685.pdf,para_blocks,1,11,text,,5,"Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por",67.0,473.0,531.0,482.0
GDI_0685.pdf,preproc_blocks,1,11,text,,5,"Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por",67.0,473.0,531.0,482.0
GDI_0685.pdf,para_blocks,1,11,text,,6,"meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao",67.0,483.0,531.0,493.0
GDI_0685.pdf,preproc_blocks,1,11,text,,6,"meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao",67.0,483.0,531.0,493.0
GDI_0685.pdf,para_blocks,1,11,text,,7,desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in.,66.0,493.0,362.0,503.0
GDI_0685.pdf,preproc_blocks,1,11,text,,7,desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in.,66.0,493.0,362.0,503.0
GDI_0685.pdf,para_blocks,1,12,text,,0,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e",66.0,510.0,531.0,519.0
GDI_0685.pdf,preproc_blocks,1,12,text,,0,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e",66.0,510.0,531.0,519.0
GDI_0685.pdf,para_blocks,1,12,text,,1,"alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com",65.0,519.0,532.0,529.0
GDI_0685.pdf,preproc_blocks,1,12,text,,1,"alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com",65.0,519.0,532.0,529.0
GDI_0685.pdf,para_blocks,1,12,text,,2,"o Lactec (instituto de pesquisa), com a BYD (indústria de veículos elétricos) e a com a PLE (desenvolvedora de",66.0,530.0,531.0,539.0
